Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year,Salary,Cap Hit,_merge,Pos,Num,Height,Weight,DOB
Philip Tomasino,NSH,31,5,13,18,5,3,6,53,21,26,28,15,10,16,9,8,52.94,2023,"832,500","863,333",both,,,,,
Luke Evangelista,NSH,24,7,8,15,7,3,6,54,17,7,9,9,15,6,0,0,0.0,2023,"775,000","797,500",both,,,,,
Benoit-Olivier Groulx,ANA,2,0,0,0,0,0,0,2,2,1,0,3,2,0,9,11,45.0,2023,"775,000","775,000",both,,,,,
Brock Faber,MIN,2,0,0,0,2,0,0,1,1,2,0,1,1,9,0,0,0.0,2023,"832,500","925,000",both,D,7,73.0,200.0,8/22/02
Matthew Knies,TOR,3,0,1,1,1,1,2,4,2,1,2,1,3,2,0,0,0.0,2023,"832,500","925,000",both,LW,23,75.0,217.0,10/17/02
Thomas Harley,DAL,6,0,2,2,5,1,2,8,3,1,1,3,0,8,0,0,0.0,2023,"832,500","863,333",both,D,55,75.0,206.0,8/19/01
Alex Vlasic,CHI,6,0,1,1,-1,0,0,4,0,1,5,1,5,9,0,0,0.0,2023,"832,500","916,667",both,D,72,78.0,199.0,6/5/01
Wyatt Kaiser,CHI,9,0,3,3,-4,2,4,13,7,6,5,13,0,10,0,0,0.0,2023,"832,500","916,667",both,D,44,72.0,173.0,7/31/02
Ville Husso,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023,"4,750,000","4,750,000",both,G,35,75.0,200.0,2/6/95
Tyson Foerster,PHI,8,3,4,7,2,3,8,15,4,8,12,1,1,10,0,0,0.0,2023,"832,500","863,333",both,RW,71,74.0,194.0,1/18/02
Darren Raddysh,TBL,17,1,2,3,-4,2,4,25,16,6,25,9,3,16,0,0,0.0,2023,"775,000","762,500",both,,,,,
Robby Fabbri,DET,28,7,7,14,-1,7,22,35,10,18,49,12,6,15,10,16,38.46,2023,"4,250,000","4,000,000",both,C,14,71.0,185.0,1/22/96
Dakota Mermis,MIN,2,0,0,0,-1,0,0,1,2,1,2,0,0,3,0,0,0.0,2023,"775,000","775,000",both,D,6,72.0,195.0,1/5/94
Marco Scandella,STL,20,1,1,2,3,3,6,17,22,2,27,10,7,26,0,0,0.0,2023,"3,000,000","3,275,000",both,D,6,75.0,212.0,2/23/90
Cole Guttman,CHI,14,4,2,6,1,1,2,26,12,4,4,11,12,6,88,81,52.07,2023,"855,000","950,000",both,C,70,69.0,167.0,4/6/99
Anton Forsberg,OTT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023,"2,950,000","2,750,000",both,G,31,75.0,193.0,11/27/92
Phillip Di Giuseppe,VAN,30,6,7,13,-3,7,14,71,14,14,52,5,10,10,1,3,25.0,2023,"775,000","775,000",both,LW,34,72.0,193.0,10/9/93
Ridly Greig,OTT,20,2,7,9,1,6,12,30,7,15,33,8,8,3,43,66,39.45,2023,"832,500","863,333",both,C,71,72.0,183.0,8/8/02
Samuel Bolduc,NYI,17,2,1,3,5,1,2,20,20,9,26,13,2,16,0,0,0.0,2023,"800,000","800,000",both,D,4,76.0,220.0,12/9/00
Kirill Marchenko,CBJ,59,21,4,25,-23,7,16,130,68,54,34,19,31,39,9,7,56.25,2023,"832,500","925,000",both,,,,,
Vincent Desharnais,EDM,36,0,5,5,14,14,31,17,21,10,45,16,5,47,0,0,0.0,2023,"775,000","762,500",both,D,73,78.0,226.0,5/29/96
Walker Duehr,CGY,27,7,4,11,0,2,4,47,18,14,55,3,5,4,1,6,14.29,2023,"775,000","825,000",both,,,,,
Tom Wilson,WSH,33,13,9,22,-16,26,80,81,33,28,100,10,13,30,5,10,33.33,2023,"5,100,000","5,166,667",both,,,,,
Justin Barron,MTL,39,4,11,15,-2,10,20,40,41,12,49,34,5,39,0,0,0.0,2023,"832,500","925,000",both,,,,,
Michael Carcone,ARI,9,2,1,3,3,1,2,15,5,5,16,1,5,1,0,0,0.0,2023,"775,000","775,000",both,LW,53,69.0,170.0,5/19/96
Thomas Novak,NSH,9,4,3,7,1,1,2,22,5,2,3,2,2,2,17,42,28.81,2023,"800,000","800,000",both,,,,,
Rourke Chartier,OTT,6,0,0,0,0,0,0,8,4,2,10,0,1,3,19,14,57.58,2023,"775,000","775,000",both,C,49,71.0,190.0,4/3/96
Lukas Reichel,CHI,23,7,8,15,-8,3,6,42,16,10,7,14,13,15,5,9,35.71,2023,"832,500","925,000",both,LW,27,72.0,170.0,5/17/02
Hudson Fasching,NYI,49,10,9,19,10,5,10,61,31,17,45,12,16,22,2,8,20.0,2023,"775,000","775,000",both,RW,20,75.0,209.0,7/28/95
Anthony Cirelli,TBL,58,11,17,28,14,11,33,110,34,44,34,15,40,46,424,407,51.02,2023,"1,625,000","6,250,000",both,,,,,
Urho Vaakanainen,ANA,23,0,2,2,-16,0,0,27,18,13,18,10,7,28,0,0,0.0,2023,"900,000","850,000",both,D,5,74.0,200.0,1/1/99
Philip Broberg,EDM,48,1,7,8,5,1,2,32,29,11,28,27,12,33,0,0,0.0,2023,"832,500","863,333",both,D,86,75.0,212.0,6/25/01
Zach Bogosian,TBL,47,1,4,5,-4,13,42,54,44,19,114,25,5,49,1,0,100.0,2023,"1,050,000","850,000",both,,,,,
Tyler Tucker,STL,26,1,3,4,-9,7,31,21,27,6,50,9,4,25,0,0,0.0,2023,"800,000","800,000",both,D,75,73.0,204.0,3/1/00
Sam Carrick,ANA,53,3,3,6,-16,23,86,50,15,19,98,9,13,24,182,187,49.32,2023,"850,000","850,000",both,C,39,72.0,200.0,2/4/92
Jake Walman,DET,64,9,8,17,10,20,45,140,73,43,47,36,33,121,0,0,0.0,2023,"3,500,000","3,400,000",both,D,96,74.0,215.0,2/20/96
Nikita Alexandrov,STL,29,3,4,7,0,3,8,28,3,12,28,4,3,13,53,97,35.33,2023,"832,500","816,667",both,C,59,73.0,177.0,9/16/00
Mattias Janmark,EDM,66,10,15,25,9,15,30,78,15,24,20,26,27,25,26,33,44.07,2023,"1,000,000","1,000,000",both,C,13,73.0,205.0,12/8/92
Charlie McAvoy,BOS,67,7,44,51,29,25,54,105,83,38,85,45,26,131,0,0,0.0,2023,"7,750,000","9,500,000",both,D,73,73.0,209.0,12/21/97
Alexander Alexeyev,WSH,33,0,5,5,-5,2,4,29,22,25,36,17,4,47,0,0,0.0,2023,"775,000","825,000",both,,,,,
Jack Drury,CAR,38,2,6,8,3,7,14,70,20,20,12,6,9,16,67,59,53.17,2023,"832,500","925,000",both,C,18,71.0,174.0,2/3/00
Dennis Gilbert,CGY,23,1,3,4,1,6,27,13,14,9,55,8,3,26,0,0,0.0,2023,"775,000","762,500",both,,,,,
Lucas Johansen,WSH,2,0,0,0,0,0,0,3,2,0,0,0,1,3,0,0,0.0,2023,"775,000","762,500",both,,,,,
Austin Czarnik,DET,29,3,2,5,-4,4,8,27,10,10,16,4,13,13,69,91,43.12,2023,"775,000","762,500",both,C,21,69.0,170.0,12/12/92
Timothy Liljegren,TOR,67,6,12,18,25,14,30,84,44,26,106,37,11,94,0,0,0.0,2023,"1,500,000","1,400,000",both,D,37,73.0,190.0,4/30/99
Sonny Milano,WSH,64,11,22,33,-9,8,18,82,19,43,41,21,21,16,0,0,0.0,2023,"2,350,000","1,900,000",both,,,,,
Drew O'Connor,PIT,48,5,5,10,-3,6,12,62,29,29,63,18,15,14,18,21,46.15,2023,"925,000","925,000",both,LW,10,75.0,200.0,6/9/98
Boris Katchouk,CHI,58,5,11,16,-10,10,27,68,36,35,85,17,24,15,3,12,20.0,2023,"775,000","758,333",both,LW,14,74.0,206.0,6/18/98
Brad Marchand,BOS,73,21,46,67,27,37,74,183,85,66,80,84,42,22,22,36,37.93,2023,"3,000,000","6,125,000",both,LW,63,69.0,176.0,5/11/88
Beck Malenstyn,WSH,9,1,1,2,0,1,2,7,2,3,34,0,1,5,1,0,100.0,2023,"775,000","762,500",both,,,,,
Liam Foudy,CBJ,62,7,7,14,-26,4,8,67,32,31,59,7,23,17,3,6,33.33,2023,"775,000","762,500",both,,,,,
Chad Ruhwedel,PIT,51,1,5,6,-5,10,20,36,39,23,93,10,14,50,0,0,0.0,2023,"800,000","800,000",both,D,2,71.0,191.0,5/7/90
Sebastian Aho,NYI,71,5,18,23,10,11,22,89,53,42,38,38,14,68,0,0,0.0,2023,"850,000","825,000",both,D,25,70.0,180.0,2/17/96
Michael Pezzetta,MTL,64,7,8,15,-6,25,77,69,27,18,239,17,4,28,8,12,40.0,2023,"800,000","812,500",both,,,,,
Joel Hanley,DAL,30,0,2,2,4,6,15,14,8,9,24,7,3,28,0,0,0.0,2023,"775,000","787,500",both,D,44,71.0,186.0,6/8/91
Connor McMichael,WSH,6,0,0,0,0,1,5,2,2,0,2,0,1,3,2,1,66.67,2023,"832,500","863,333",both,,,,,
Matt Grzelcyk,BOS,75,4,22,26,45,14,28,102,52,47,51,33,13,78,0,0,0.0,2023,"4,250,000","3,687,500",both,D,48,70.0,176.0,1/5/94
Dylan Samberg,WPG,63,2,6,8,10,11,25,49,49,19,91,39,20,93,0,0,0.0,2023,"1,300,000","1,400,000",both,,,,,
Tyler Myers,VAN,78,1,15,16,-16,30,76,101,76,40,94,50,25,144,0,0,0.0,2023,"1,000,000","6,000,000",both,D,57,80.0,229.0,2/1/90
Noah Juulsen,VAN,12,0,0,0,1,3,6,5,7,6,43,2,3,16,0,0,0.0,2023,"775,000","775,000",both,D,47,74.0,201.0,4/2/97
Brett Leason,ANA,54,6,3,9,-22,7,14,51,23,27,35,9,9,18,2,4,33.33,2023,"800,000","775,000",both,RW,20,77.0,218.0,4/30/99
Jason Dickinson,CHI,78,9,22,31,-29,14,28,114,54,41,112,36,54,80,370,402,47.93,2023,"3,250,000","2,650,000",both,C,16,74.0,200.0,7/4/95
Warren Foegele,EDM,67,13,15,28,6,14,28,128,44,57,96,27,49,21,7,6,53.85,2023,"3,250,000","2,750,000",both,LW,37,74.0,204.0,4/1/96
Brayden Schenn,STL,82,21,43,64,-27,18,50,144,72,69,140,47,41,40,476,541,46.8,2023,"8,000,000","6,500,000",both,C,10,73.0,199.0,8/22/91
Robert Bortuzzo,STL,43,2,3,5,9,13,29,30,17,12,64,12,7,49,0,0,0.0,2023,"950,000","950,000",both,D,41,76.0,216.0,3/18/89
Brandon Saad,STL,71,19,18,37,-8,6,12,126,31,40,24,26,34,33,4,4,50.0,2023,"5,500,000","4,500,000",both,LW,20,73.0,215.0,10/27/92
Alexey Toropchenko,STL,69,10,9,19,5,6,12,85,27,17,122,23,18,46,2,6,25.0,2023,"1,250,000","1,250,000",both,RW,13,78.0,222.0,6/25/99
Robert Thomas,STL,73,18,47,65,-7,11,22,106,32,38,15,40,66,29,641,576,52.67,2023,"9,000,000","8,125,000",both,C,18,72.0,218.0,7/2/99
Jake Neighbours,STL,43,6,4,10,-19,9,24,53,15,19,63,3,13,21,7,12,36.84,2023,"832,500","835,833",both,LW,63,72.0,201.0,3/29/02
Jordan Kyrou,STL,79,37,35,72,-37,11,22,272,112,87,14,55,54,34,5,9,35.71,2023,"9,000,000","8,125,000",both,C,25,73.0,196.0,5/5/98
Nick Leddy,STL,78,2,20,22,3,10,20,79,46,39,43,34,43,95,0,0,0.0,2023,"4,500,000","4,000,000",both,D,4,72.0,205.0,3/20/91
Colton Parayko,STL,79,4,23,27,-17,15,30,133,73,50,115,49,59,143,0,0,0.0,2023,"8,000,000","6,500,000",both,D,55,78.0,228.0,5/12/93
Torey Krug,STL,63,7,25,32,-25,15,49,128,72,52,40,30,19,87,0,0,0.0,2023,"8,500,000","6,500,000",both,D,47,69.0,194.0,4/12/91
Pavel Buchnevich,STL,63,26,42,68,15,14,36,123,44,58,54,31,35,23,65,150,30.23,2023,"6,900,000","5,800,000",both,LW,89,73.0,196.0,4/17/95
Justin Faulk,STL,82,11,39,50,-5,17,34,194,100,57,112,58,51,142,0,0,0.0,2023,"7,900,000","6,500,000",both,D,72,72.0,214.0,3/20/92
Cal Clutterbuck,NYI,49,6,6,12,9,11,30,45,14,21,194,15,10,33,1,4,20.0,2023,"1,750,000","1,750,000",both,RW,15,72.0,215.0,11/18/87
Oliver Wahlstrom,NYI,35,7,9,16,5,13,32,71,40,27,50,11,12,16,7,13,35.0,2023,"874,125","874,125",both,RW,26,74.0,200.0,6/13/00
Trent Frederic,BOS,79,17,15,32,28,18,57,121,28,39,105,20,24,34,24,48,33.33,2023,"2,050,000","2,300,000",both,C,11,75.0,214.0,2/11/98
Stefan Noesen,CAR,78,13,23,36,11,13,32,134,27,73,99,31,27,18,54,56,49.09,2023,"775,000","762,500",both,RW,23,73.0,205.0,2/12/93
Logan Stanley,WPG,19,1,2,3,-1,9,21,11,16,11,44,10,3,20,0,0,0.0,2023,"1,000,000","1,000,000",both,,,,,
Mark Scheifele,WPG,81,42,26,68,-16,12,43,206,60,94,50,44,61,38,580,627,48.05,2023,"6,000,000","6,125,000",both,,,,,
Brenden Dillon,WPG,82,2,21,23,0,27,76,83,78,43,198,47,18,106,0,0,0.0,2023,"2,000,000","3,900,000",both,,,,,
Cole Perfetti,WPG,51,8,22,30,11,8,16,91,37,31,35,18,19,23,3,8,27.27,2023,"832,500","894,167",both,,,,,
Morgan Barron,WPG,70,8,13,21,4,13,31,113,32,37,118,16,19,44,13,16,44.83,2023,"1,300,000","1,350,000",both,,,,,
Neal Pionk,WPG,82,10,23,33,-12,19,44,144,80,72,169,51,29,129,0,0,0.0,2023,"7,500,000","5,875,000",both,,,,,
Adam Lowry,WPG,82,13,22,35,3,15,48,125,27,56,161,24,27,46,595,585,50.42,2023,"4,500,000","3,250,000",both,,,,,
Kyle Connor,WPG,82,32,48,80,-12,10,20,275,117,106,43,40,44,25,2,6,25.0,2023,"7,500,000","7,142,857",both,,,,,
Mason Appleton,WPG,41,5,11,16,2,4,8,70,16,22,47,11,12,11,2,8,20.0,2023,"2,250,000","2,166,667",both,,,,,
Nate Schmidt,WPG,71,7,11,18,15,4,8,101,88,56,45,50,21,85,0,0,0.0,2023,"4,950,000","5,950,000",both,,,,,
Nikolaj Ehlers,WPG,45,12,26,38,-2,4,11,132,89,76,36,23,29,10,1,2,33.33,2023,"6,500,000","6,000,000",both,,,,,
David Gustafsson,WPG,46,0,6,6,2,3,6,45,17,10,25,9,14,18,103,105,49.52,2023,"775,000","775,000",both,,,,,
